hidden1_dim,hidden2_dim,learning_rate,epochs,patience,number_of_batches,learning_shrink,input_dim,random_state,train_mse,val_mse,best_val_loss_train_loop,final_learning_rate,epochs_ran,status,seconds,error
128,32,0.001,100,3,400,False,16,0,,0.0302745619738409,0.0304308393858751,0.0303125280903561,0.001,100,ok,130.914
128,32,0.001,100,3,4000,True,16,0,,0.0290982336928163,0.0291337253613408,0.0291595509780831,0.000531441,38,ok,42.206
128,32,0.001,100,3,4000,False,16,0,,0.028920246954316,0.0289417928890118,0.0290014695754771,0.001,64,ok,69.948
128,32,0.001,100,5,40,True,16,0,,0.0434424309676694,0.0433387362362402,0.0436177887807165,0.001,100,ok,145.997
128,32,0.001,100,5,40,False,16,0,,0.043076903950179,0.0430670536294062,0.043200808430567,0.001,100,ok,143.32
128,32,0.001,100,5,400,True,16,0,,0.0303686764811663,0.030354031165988,0.0303927413560585,0.0001667718169966,100,ok,136.094
128,32,0.001,100,5,400,False,16,0,,0.0308974825168457,0.0310596013431155,0.0309916384502395,0.001,100,ok,136.22
128,32,0.001,100,5,4000,True,16,0,,0.0290945668501768,0.0291362284931012,0.0291261114118582,0.0003486784401,46,ok,51.499
128,32,0.001,100,5,4000,False,16,0,,0.0289388251757431,0.0289772278141502,0.0290017345604117,0.001,52,ok,58.152
128,32,0.001,100,10,40,True,16,0,,0.0435593603119669,0.0437071663119083,0.0439305543865681,0.001,100,ok,144.509
128,32,0.001,100,10,40,False,16,0,,0.0484477755218797,0.048648401354876,0.0484935613038521,0.001,100,ok,144.928
128,32,0.001,100,10,400,True,16,0,,0.031296906480608,0.0313681756555454,0.0313305503447579,0.00043046721,100,ok,131.695
128,32,0.001,100,10,400,False,16,0,,0.0307570992141138,0.030836227677453,0.030907519558535,0.001,100,ok,135.982
128,32,0.001,100,10,4000,True,16,0,,0.0290485411758995,0.0290634335247148,0.0290861744777333,0.0001350851717672,74,ok,83.122
128,32,0.001,100,10,4000,False,16,0,,0.0288683616615945,0.0288957261355647,0.0289496638412347,0.001,100,ok,105.992
128,32,0.001,100,20,40,True,16,0,,0.0422845154782133,0.0423218192488289,0.0422622118292468,0.001,100,ok,143.021
128,32,0.001,100,20,40,False,16,0,,0.0455513577974833,0.045951755449015,0.0457009973354868,0.001,100,ok,145.943
128,32,0.001,100,20,400,True,16,0,,0.0306290908224801,0.0306894377585146,0.0306238309671802,0.0002541865828329,100,ok,134.62
128,32,0.001,100,20,400,False,16,0,,0.0295819796437815,0.0295926054995735,0.0296181448453686,0.001,100,ok,134.866
128,32,0.001,100,20,4000,True,16,0,,0.02899426851152,0.0290695542298218,0.0290173261030265,6.461081889226677e-05,100,ok,100.575
128,32,0.001,100,20,4000,False,16,0,,0.0288510199884775,0.0288917506110526,0.0289205414748486,0.001,100,ok,102.074
128,64,0.1,100,1,40,True,16,0,,0.0301697483222162,0.0301008291357824,0.0303180233648215,0.04782969,30,ok,54.24
128,64,0.1,100,1,40,False,16,0,,0.0309141044864856,0.0308206034603471,0.0310570543328095,0.1,7,ok,13.2
128,64,0.1,100,1,400,True,16,0,,0.0293542057536962,0.0293804885772774,0.0293864802241789,0.09,16,ok,29.624
128,64,0.1,100,1,400,False,16,0,,0.0290686560810126,0.0291263262845211,0.0290868135449264,0.1,21,ok,34.428
128,64,0.1,100,1,4000,True,16,0,,0.0292409759544512,0.0292619796683572,0.029222226593965,0.1,4,ok,8.863
128,64,0.1,100,1,4000,False,16,0,,0.0292049614991953,0.0291927124547816,0.0290528348845275,0.1,6,ok,13.03
128,64,0.1,100,3,40,True,16,0,,0.0299595290995386,0.0299228917193514,0.0300627205348007,0.0109418989131512,68,ok,126.488
128,64,0.1,100,3,40,False,16,0,,0.0308781088926203,0.0307847448613083,0.0310213243541003,0.1,9,ok,17.509
128,64,0.1,100,3,400,True,16,0,,0.0288263747363921,0.0288584116211376,0.0289112305053319,0.0387420489,33,ok,62.319
128,64,0.1,100,3,400,False,16,0,,0.0287198766413476,0.0287789416398968,0.0287868714902471,0.1,55,ok,98.757
128,64,0.1,100,3,4000,True,16,0,,0.0282985166924403,0.0284049292943124,0.0283257601499386,0.06561,21,ok,40.781
128,64,0.1,100,3,4000,False,16,0,,0.0283685669329597,0.0284697216655928,0.0283005603039154,0.1,21,ok,41.639
128,64,0.1,100,5,40,True,16,0,,0.0292233218238447,0.0292297224447137,0.0292375544072634,0.02541865828329,59,ok,105.405
128,64,0.1,100,5,40,False,16,0,,0.0290337408292092,0.029059132528018,0.0291278563325675,0.1,100,ok,183.596
128,64,0.1,100,5,400,True,16,0,,0.028914907758819,0.0289595237136654,0.0290036773361657,0.0098477090218361,76,ok,141.37
128,64,0.1,100,5,400,False,16,0,,0.0286210114996637,0.0286878415762424,0.0286580020762796,0.1,37,ok,57.571
128,64,0.1,100,5,4000,True,16,0,,0.0291431706939572,0.0291476397092674,0.0291559734776365,0.081,18,ok,35.017
128,64,0.1,100,5,4000,False,16,0,,0.0282966950580898,0.0284230323610916,0.0282581679849399,0.1,31,ok,61.038
128,64,0.1,100,10,40,True,16,0,,0.0308739958607649,0.0307904653023737,0.0310236526980033,0.04782969,25,ok,45.08
128,64,0.1,100,10,40,False,16,0,,0.0296001701907016,0.0296115475647843,0.0296608511456376,0.1,100,ok,182.941
128,64,0.1,100,10,400,True,16,0,,0.0286405561533813,0.0286863753916314,0.028708548752101,0.0042391158275216,100,ok,208.141
128,64,0.1,100,10,400,False,16,0,,0.0287040961579177,0.0287619763257141,0.0287337776949135,0.1,89,ok,139.023
128,64,0.1,100,10,4000,True,16,0,,0.0281942911600021,0.0283169613978301,0.028247546060018,0.0166771816996665,63,ok,123.298
128,64,0.1,100,10,4000,False,16,0,,0.0281862802521597,0.028339251590867,0.0282315326696801,0.1,42,ok,84.155
128,64,0.1,100,20,40,True,16,0,,0.0308426841205387,0.030757763697419,0.0309783219853967,0.031381059609,38,ok,70.429
128,64,0.1,100,20,40,False,16,0,,0.0290673812702945,0.029088260877757,0.029105768449591,0.1,100,ok,180.632
128,64,0.1,100,20,400,True,16,0,,0.0286250953549151,0.0286581913447717,0.0286686836008912,0.0047101286972462,100,ok,178.897
128,64,0.1,100,20,400,False,16,0,,0.0284338281584139,0.0285052531412199,0.0284636900582272,0.1,100,ok,201.966
128,64,0.1,100,20,4000,True,16,0,,0.0284976442100857,0.028597786704649,0.0285776095356401,0.0042391158275216,100,ok,201.26
